store_id,customer_first_name,customer_last_name,order_id,order_name,order_placed_timestamp,fully_paid,fulfillment_status,net_gmv,currency,billing_address_country,shipping_address_country,user_agent
8648346524566,Emily,Martinez,6230378683541,#1660,2025-02-05T01:39:22.754851,paid,null,20.35,EUR,Sweden,Sweden,Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8947858024666,David,Martinez,6275207410849,#1661,2025-02-16T03:39:22.754861,paid,null,40.81,EUR,France,France,Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/125.0.6422.152 Mobile Safari/537.36
8332255813370,Jessica,Garcia,6292761832622,#1662,2025-02-10T21:39:22.754870,paid,null,10.99,EUR,Netherlands,Netherlands,Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8817951943449,Emily,Garcia,6269505527058,#1663,2025-02-11T21:39:22.754880,paid,null,48.41,EUR,Germany,Germany,Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8596942325685,Michael,Rodriguez,6227419719207,#1664,2025-02-14T03:39:22.754890,paid,null,30.9,EUR,UK,UK,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36
8067972016968,Jane,Smith,6203001561710,#1665,2025-02-16T09:39:22.754899,paid,null,38.39,EUR,Netherlands,Netherlands,Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8518821283868,Emma,Brown,6222296948113,#1666,2025-02-14T07:39:22.754909,paid,null,15.43,EUR,Ireland,Ireland,Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8237740674320,Michael,Rodriguez,6218120590180,#1667,2025-02-18T05:39:22.754918,paid,null,31.0,EUR,Ireland,Ireland,Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8745328942395,David,Jones,6276949078485,#1668,2025-02-05T06:39:22.754929,paid,null,9.07,EUR,Denmark,Denmark,Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/125.0.6422.152 Mobile Safari/537.36
8118883741480,John,Johnson,6245309823217,#1669,2025-03-01T06:39:22.754942,paid,null,7.22,EUR,UK,UK,Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36 Chrome/122.0.0.0 Mobile Safari/537.36
8406342857969,Sarah,Williams,6232337226070,#1670,2025-02-11T11:39:22.754956,paid,null,29.6,EUR,Denmark,Denmark,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36
8371063127647,Emma,Garcia,6226725062304,#1671,2025-02-04T14:39:22.754968,paid,null,45.81,EUR,Germany,Germany,Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36 Chrome/122.0.0.0 Mobile Safari/537.36
8446293839848,David,Brown,6236361226879,#1672,2025-02-24T05:39:22.754982,paid,null,17.93,EUR,Italy,Italy,Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8063438986954,Daniel,Johnson,6213486645791,#1673,2025-02-28T05:39:22.754994,paid,null,44.93,EUR,UK,UK,Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36 Chrome/122.0.0.0 Mobile Safari/537.36
8671259990953,Emma,Miller,6272482454512,#1674,2025-02-20T23:39:22.755009,paid,null,17.29,EUR,Spain,Spain,Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/125.0.6422.152 Mobile Safari/537.36
8910945478811,Jessica,Jones,6289840864169,#1675,2025-02-21T19:39:22.755019,paid,null,15.26,EUR,France,France,Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/125.0.6422.152 Mobile Safari/537.36
8783918969694,Emily,Jones,6218245283745,#1676,2025-02-24T06:39:22.755029,paid,null,24.45,EUR,UK,UK,Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8005890414811,Jessica,Garcia,6231985865702,#1677,2025-02-26T15:39:22.755039,paid,null,13.15,EUR,Spain,Spain,Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8373473118447,John,Martinez,6278733078199,#1678,2025-02-10T08:39:22.755048,paid,null,38.55,EUR,Italy,Italy,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36
8882966657282,Emily,Rodriguez,6232662472142,#1679,2025-02-10T19:39:22.755061,paid,null,11.86,EUR,France,France,Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36 Chrome/122.0.0.0 Mobile Safari/537.36
8981316143519,Jane,Miller,6282964063863,#1680,2025-03-05T06:39:22.755077,paid,null,22.77,EUR,UK,UK,Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/125.0.6422.152 Mobile Safari/537.36
8254027155881,Michael,Garcia,6225006561074,#1681,2025-02-28T16:39:22.755090,paid,null,12.41,EUR,UK,UK,Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/125.0.6422.152 Mobile Safari/537.36
8734651452610,Jessica,Rodriguez,6211278068666,#1682,2025-03-04T13:39:22.755104,paid,null,14.63,EUR,France,France,Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8333404193176,Jessica,Garcia,6290127600654,#1683,2025-02-24T12:39:22.755117,paid,null,47.5,EUR,Netherlands,Netherlands,Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36 Chrome/122.0.0.0 Mobile Safari/537.36
8583921193861,Jane,Garcia,6268765196864,#1684,2025-02-04T04:39:22.755131,paid,null,8.6,EUR,Netherlands,Netherlands,Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8172294321949,Sarah,Rodriguez,6255472875738,#1685,2025-02-17T20:39:22.755144,paid,null,36.93,EUR,Sweden,Sweden,Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8485589882261,Sarah,Smith,6295824604355,#1686,2025-03-06T04:39:22.755158,paid,null,25.31,EUR,Ireland,Ireland,Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36 Chrome/122.0.0.0 Mobile Safari/537.36
8950443526376,Robert,Miller,6267622480147,#1687,2025-02-26T10:39:22.755173,paid,null,45.8,EUR,France,France,Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36 Chrome/122.0.0.0 Mobile Safari/537.36
8548103741925,Daniel,Davis,6276962679232,#1688,2025-03-01T08:39:22.755212,paid,null,7.26,EUR,Spain,Spain,Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/125.0.6422.152 Mobile Safari/537.36
8571443474738,Daniel,Garcia,6210859665277,#1689,2025-02-22T05:39:22.755229,paid,null,18.49,EUR,UK,UK,Mozilla/5.0 (Linux; Android 11) AppleWebKit/537.36 Chrome/125.0.6422.152 Mobile Safari/537.36
8086278550491,Emma,Smith,6258549444072,#1690,2025-02-11T13:39:22.755248,paid,null,39.52,EUR,Italy,Italy,Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8296086866486,Michael,Smith,6246779187548,#1691,2025-03-03T21:39:22.755263,paid,null,11.54,EUR,UK,UK,Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8465242333179,Sarah,Rodriguez,6278434750730,#1692,2025-02-22T15:39:22.755277,paid,null,49.51,EUR,Italy,Italy,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36
8074325330646,Jessica,Garcia,6219241478904,#1693,2025-02-25T16:39:22.755293,paid,null,15.9,EUR,Denmark,Denmark,Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8218399568204,Emily,Garcia,6291750995452,#1694,2025-02-15T19:39:22.755305,paid,null,17.72,EUR,Germany,Germany,Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8990680089078,John,Miller,6208416529540,#1695,2025-02-08T13:39:22.755316,paid,null,36.4,EUR,Sweden,Sweden,Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36 Chrome/122.0.0.0 Mobile Safari/537.36
8578571933565,Sarah,Rodriguez,6235470111583,#1696,2025-02-06T20:39:22.755329,paid,null,28.78,EUR,Belgium,Belgium,Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36 Chrome/122.0.0.0 Mobile Safari/537.36
8879828009286,John,Davis,6292041337460,#1697,2025-03-02T01:39:22.755342,paid,null,5.06,EUR,UK,UK,Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 Mobile Safari/537.36
8304320386701,Emily,Rodriguez,6246866721796,#1698,2025-02-04T20:39:22.755355,paid,null,27.06,EUR,UK,UK,Mozilla/5.0 (Linux; Android 10) AppleWebKit/537.36 Chrome/122.0.0.0 Mobile Safari/537.36
8349690703689,Jane,Smith,6292621905084,#1699,2025-03-05T11:39:22.755369,paid,null,44.26,EUR,Italy,Italy,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36
